name,id,nametype,recclass,mass,fall,year,reclat,reclong,city,zipcode,state
Whetstone Mountains,49514,Valid,H5,2138.74,Fell,2009.0,31.96185,-110.434183,sierra vista,85641,AZ
Worden,24337,Valid,L5,1551.0,Fell,1997.0,42.38467,-83.6115,south lyon,48168,MI
Abbott,5,Valid,H3-6,21100.0,Found,1951.0,36.3,-104.28333,raton,87747,NM
Abernathy,7,Valid,L6,2914.0,Found,1941.0,33.85,-101.8,lubbock,79311,TX
Achilles,369,Valid,H5,16000.0,Found,1924.0,39.77667,-100.81333000000001,north platte,67739,KS
Ackerly,55379,Valid,L5,3046.0,Found,1995.0,32.59033,-101.77216999999999,lamesa,79713,TX
Acme,371,Valid,H5,75000.0,Found,1947.0,33.63333,-104.26666999999999,roswell,88201,NM
Acomita,372,Valid,"Pallasite, PMG",3956.0,Found,1962.0,35.05,-107.56667,grants,87020,NM
Acuña,373,Valid,"Iron, IIIAB",217700.0,Found,1981.0,29.316670000000002,-100.96667,acuna,78843,TX
Adams County,375,Valid,H5,5700.0,Found,1928.0,39.96667,-103.76666999999999,fort morgan,80757,CO
Adrian,388,Valid,H4,22600.0,Found,1936.0,35.15,-102.71667,hereford,79001,TX
Aiken,421,Valid,OC,956.0,Found,1936.0,34.2,-101.5,plainview,79241,TX
Ainsworth,422,Valid,"Iron, IIAB",80650.0,Found,1907.0,42.6,-99.8,north platte,69217,NE
Akron (1940),430,Valid,H6,1050.0,Found,1940.0,40.15,-103.16667,sterling,80720,CO
Akron (1961),431,Valid,L6,4000.0,Found,1961.0,40.15,-103.16667,sterling,80720,CO
Alamogordo,449,Valid,H5,13600.0,Found,1938.0,32.9,-105.93333,alamogordo,88337,NM
Alamosa,450,Valid,L6,1800.0,Found,1937.0,37.46667,-105.86667,alamosa,81101,CO
Albin (pallasite),455,Valid,"Pallasite, PMG",37600.0,Found,1915.0,41.5,-104.1,scottsbluff,82050,WY
Albin (stone),456,Valid,L,15400.0,Found,1949.0,41.41667,-104.1,scottsbluff,82082,WY
Albion,457,Valid,"Iron, IVA",12280.0,Found,1966.0,46.83333,-117.25,pullman,99161,WA
Alkali,474,Valid,H6,30.47,Found,1998.0,37.86667,-117.4,fallon,89013,NV
Alkali Flat,55662,Valid,L5,28.0,Found,2011.0,32.306,-108.9038,silver city,88045,NM
Allen,2277,Valid,H4,1407.0,Found,1923.0,33.1,-96.7,allen,75013,TX
Allred,2280,Valid,L4,6570.0,Found,1978.0,33.1,-102.95,lovington,79355,TX
Almelo Township,2281,Valid,L5,3180.0,Found,1949.0,39.6,-100.11667,hays,67635,KS
Altonah,2286,Valid,"Iron, IVA",21500.0,Found,1932.0,40.56667,-110.48333000000001,evanston,84066,UT
Alvord,2287,Valid,"Iron, IVA",17500.0,Found,1976.0,43.32222,-96.28889000000001,brandon,51230,IA
Amber,2291,Valid,L6,4532.0,Found,1934.0,35.16667,-97.88333,chickasha,73004,OK
Amherst,2293,Valid,L6,8500.0,Found,1947.0,40.8,-99.2,kearney,68870,NE
Angelica,2300,Valid,"Iron, IIIAB",14800.0,Found,1916.0,44.25,-88.25,kaukauna,54113,WI
Anoka,2307,Valid,"Iron, IAB-sLM",1108.0,Found,1961.0,45.2,-93.43333,champlin,55327,MN
Anson,2308,Valid,L6,3900.0,Found,1972.0,39.33333,-97.56166999999999,salina,67466,KS
Antelope,57455,Valid,H4,754.0,Found,2012.0,40.90183,-118.54465,winnemucca,89418,NV
Anthony,2310,Valid,H5,20000.0,Found,1919.0,37.08333,-98.05,enid,67003,KS
Anthony Gap,56391,Valid,L6,347.36,Found,2011.0,32.00584,-106.56028,sunland park,79821,TX
Anton,2311,Valid,H4,41800.0,Found,1965.0,33.7825,-102.18111,levelland,79313,TX
Apex,2315,Valid,L6,6.1,Found,1938.0,39.75,-105.2,golden,80401,CO
Arapahoe,2323,Valid,L5,19083.0,Found,1940.0,38.8,-102.2,lamar,80802,CO
Arcadia,2326,Valid,LL6,19400.0,Found,1937.0,41.41667,-99.1,kearney,68815,NE
Arch,2327,Valid,CV3,985.8,Found,1972.0,34.15,-103.22,portales,88130,NM
Arches,2328,Valid,L5,534.0,Found,2001.0,38.68867,-109.58516999999999,redlands,84532,UT
Argonia,2331,Valid,"Pallasite, PMG-an",84.0,Found,1940.0,37.26667,-97.76666999999999,haysville,67004,KS
Arivaca,47346,Valid,Eucrite-mmict,30.1,Found,1999.0,31.593909999999997,-111.37023,green valley,85622,AZ
Armel,2336,Valid,L5,9200.0,Found,1967.0,39.76667,-102.13333,sterling,80735,CO
Arriba,2339,Valid,L5,31100.0,Found,1936.0,39.3,-103.25,fort morgan,80804,CO
Ashmore,2349,Valid,H5,55400.0,Found,1969.0,32.9,-102.28333,brownfield,79342,TX
Atlanta,4886,Valid,EL6,5500.0,Found,1938.0,31.8,-92.75,natchitoches,71404,LA
Attica,4890,Valid,H4,5622.0,Found,1996.0,37.25,-98.13333,hutchinson,67009,KS
Atwood,4891,Valid,L6,2100.0,Found,1963.0,40.51667,-103.26666999999999,sterling,80722,CO
Atwood (b),4892,Valid,OC,77.0,Found,1964.0,40.51667,-103.26666999999999,sterling,80722,CO
Aubrey Hills,56393,Valid,H6,560.8,Found,2010.0,34.38063,-114.16705,lake havasu city,92267,CA
Aurora,4901,Valid,H4,1000.0,Found,1938.0,36.33333,-105.05,taos,87729,NM
Axtell,4911,Valid,CV3,6200.0,Found,1943.0,31.66,-96.97166999999999,bellmead,76624,TX
Bagdad,4920,Valid,"Iron, IIIAB",2200.0,Found,1959.0,34.613316999999995,-113.398967,kingman,86321,AZ
Ballinger,4930,Valid,"Iron, IAB-MG",1250.0,Found,1927.0,31.76667,-99.98333000000001,san angelo,76821,TX
Barrilla,4952,Valid,H5,11100.0,Found,1994.0,30.78333,-103.46667,pecos,79718,TX
Bartlett,4953,Valid,"Iron, IIIAB",8590.0,Found,1938.0,30.83333,-97.5,belton,76537,TX
